"Defores"	"Elev"	"Pendiente"	"Dist.rio"	"Dist.ciudad"	"Dist.pueblo"	"Dist.carP"	"Dist.carS"	"Dist.agri"	"Insolac"
1	200	0	42.4	73401.9	384.2	9883.9	108.2	30	3857.7
1	238.7	18.9	189.7	71400.1	1795.2	8066.5	1718.1	150	3976
1	125.9	0.2	212.1	61425.7	3270.6	1485.5	1018.7	216.3	3819.2
1	243.3	19.9	2670.2	52664.8	1999.4	1918.6	323.1	30	3502.3
0	325	20	2361.4	51706.1	1771	1523.2	30	84.9	3093.5
0	291.6	12.3	1489.5	50748.6	2058	823.8	67.1	108.2	3351.5
0	349	4.7	42.4	71222.6	2765.4	11562.5	1210.8	42.4	3750.5
1	378.4	25.9	1090.4	50503.7	2953	1106.3	0	42.4	4311.7
1	295.4	7.9	60	70218.8	2448.4	11056.5	570	60	3760.3
1	522.1	19.8	1281.6	52204.2	3892.7	2779.5	331.4	241.9	3312.2
1	410.8	14.9	1731.7	51236.9	3780.5	1824.8	577.1	134.2	3701.5
1	300	0	0	69067.5	1569.8	9703.4	295.5	42.4	3908.1
1	244.7	17	1561.2	51033.3	4330.4	1583.2	603	134.2	3528.1
1	658.7	20.9	42.4	44200.7	5246.9	3330	2174.9	2589.4	4532
1	542.9	20.7	192.1	43207.9	5977.5	3465.6	1888.1	2521.6	4419.6
1	497.7	14.2	182.5	42245.5	6758.7	3771.5	1240.2	2648.5	4306.1
1	350	0	451	68662.8	2788.9	11486.5	120	84.9	3933.1
1	354.6	14.1	150	42989.1	5384.1	2523.6	1103.1	1532.6	4215.1
1	350	13	212.1	42021.7	6173.4	2836.7	488.4	1681.3	3651.7
0	666	28.7	474.3	40061	7298.6	3768.2	1230	2313.1	3515.3
0	567.8	14.7	67.1	39097.1	6577.3	4454.8	2220	3003.7	4183.1
0	271.8	22.6	84.9	67892.4	1423	10777.3	934.3	67.1	3115.6
1	196.4	6.3	120	56609.6	1231.5	1527.6	966.1	108.2	3644.1
1	506.3	21.3	360	40843.1	6299.9	2334	872.1	977.2	3873.9
1	560.5	23.2	108.2	37906	5155.9	4504.4	3267.9	2204.9	4384.3
0	200	0	0	67165.8	649	10237.4	451	30	3837.1
1	301.4	6.6	180	39656.3	6185.1	2366.2	2210.5	1183.8	4050.3
1	449.3	3.7	201.2	38682.3	5314.7	3107.6	2130	1676	4078.2
0	326.4	4.5	0	37709.2	4494.2	3858	2328.6	1247.8	3862.9
1	428.8	16.1	228.5	34766.1	2788.9	6513.4	1532.6	1527.6	4306.1
1	350	0	318.9	20302.3	1050.4	1274.6	270	30	3919.6
1	150	0	488.4	48407	1472.8	465.7	60	30	3827.9
1	439.2	20.2	1146.3	39493.1	5816.4	1716	1236.9	254.6	3204.9
