Date,Demanded_Gas,Import_price[Dollars per Thousand Cubic Feet],Import_price[Dollars per  ONE MILLION Cubic Feet],Import_total_price [Dolares],PIB [Millones de Pesos mexicanos],Cambio dólar/peso,PIB [Millones de Dolares],PIB [ Dolares],Población en Mexico
1/1/2005,"1,819.58",5.97,"5,970.00","10,862,892.60","8,655,345.80",11.2007,"772,750.44","772,750,435,240.66","103,263,388.00"
2/1/2005,1895.33,5.95,"5,950.00","11,277,213.50","8,655,345.80",11.1714,"774,777.18","774,777,181,015.81","103,263,388.00"
3/1/2005,1765.86,6.53,"6,530.00","11,531,065.80","8,655,345.80",11.104,"779,479.99","779,479,989,193.08","103,263,388.00"
4/1/2005,1642.7,7,"7,000.00","11,498,900.00","9,254,136.20",11.1893,"827,052.29","827,052,291,028.04","103,263,388.00"
5/1/2005,1895.54,6.46,"6,460.00","12,245,188.40","9,254,136.20",11.0271,"839,217.58","839,217,582,138.55","103,263,388.00"
6/1/2005,2051.72,6.79,"6,790.00","13,931,178.80","9,254,136.20",10.8442,"853,371.96","853,371,959,204.00","103,263,388.00"
7/1/2005,1962.05,7.33,"7,330.00","14,381,826.50","9,187,819.90",10.7327,"856,058.58","856,058,577,990.63","103,263,388.00"
8/1/2005,1889.66,8.36,"8,360.00","15,797,557.60","9,187,819.90",10.5994,"866,824.53","866,824,527,803.46","103,263,388.00"
9/1/2005,1739.1,10.26,"10,260.00","17,843,166.00","9,187,819.90",10.7234,"856,801.01","856,801,005,278.18","103,263,388.00"
10/1/2005,1695.92,11.52,"11,520.00","19,536,998.40","9,570,589.50",10.7683,"888,774.41","888,774,411,931.32","103,263,388.00"
11/1/2005,1648.95,9.45,"9,450.00","15,582,577.50","9,570,589.50",10.7647,"889,071.64","889,071,641,569.20","103,263,388.00"
12/1/2005,1560.98,11.15,"11,150.00","17,404,927.00","9,570,589.50",10.5247,"909,345.59","909,345,587,047.61","103,263,388.00"
1/1/2006,1610.45,8.48,"8,480.00","13,656,616.00","9,678,233.00",10.6253,"910,866.80","910,866,799,055.09","103,263,388.00"
2/1/2006,1806.33,7.19,"7,190.00","12,987,512.70","9,678,233.00",10.4303,"927,895.94","927,895,937,796.61","103,263,388.00"
3/1/2006,2006.88,6.46,"6,460.00","12,964,444.80","9,678,233.00",10.4673,"924,615.99","924,615,994,573.58","103,263,388.00"
4/1/2006,2108.31,6.73,"6,730.00","14,188,926.30","10,351,495.30",10.8717,"952,150.57","952,150,565,228.99","103,263,388.00"
5/1/2006,2298.9,6.2,"6,200.00","14,253,180.00","10,351,495.30",11.0323,"938,289.87","938,289,867,026.82","103,263,388.00"
6/1/2006,2398.88,5.99,"5,990.00","14,369,291.20","10,351,495.30",11.2843,"917,336.06","917,336,059,835.35","103,263,388.00"
7/1/2006,2480.62,5.99,"5,990.00","14,858,913.80","10,324,242.70",11.1302,"927,588.25","927,588,246,392.70","103,263,388.00"
8/1/2006,2413.08,7.15,"7,150.00","17,253,522.00","10,324,242.70",11.0203,"936,838.63","936,838,625,082.80","103,263,388.00"
9/1/2006,2298.49,5.5,"5,500.00","12,641,695.00","10,324,242.70",10.8952,"947,595.52","947,595,519,127.69","103,263,388.00"
10/1/2006,2273.91,5.31,"5,310.00","12,074,462.10","10,569,771.20",10.9733,"963,226.30","963,226,303,846.61","103,263,388.00"
11/1/2006,2134.41,6.78,"6,780.00","14,471,299.80","10,569,771.20",10.7449,"983,701.22","983,701,216,391.03","103,263,388.00"
12/1/2006,2025.98,7.02,"7,020.00","14,222,379.60","10,569,771.20",10.9595,"964,439.18","964,439,180,619.55","103,263,388.00"
1/1/2007,2108.85,6.95,"6,950.00","14,656,507.50","10,457,892.40",10.7815,"969,984.92","969,984,918,610.58","103,263,388.00"
2/1/2007,2006.81,7.35,"7,350.00","14,750,053.50","10,457,892.40",10.982,"952,275.76","952,275,760,335.09","103,263,388.00"
3/1/2007,2259.02,6.91,"6,910.00","15,609,828.20","10,457,892.40",11.1917,"934,432.87","934,432,874,362.25","103,263,388.00"
4/1/2007,2036.62,7.11,"7,110.00","14,480,368.20","11,055,634.20",11.0336,"1,001,997.01","1,001,997,009,135.73","103,263,388.00"
5/1/2007,2361.78,7.34,"7,340.00","17,335,465.20","11,055,634.20",10.9262,"1,011,846.22","1,011,846,222,840.51","103,263,388.00"
6/1/2007,2567.22,7.11,"7,110.00","18,252,934.20","11,055,634.20",10.7131,"1,031,973.40","1,031,973,397,055.94","103,263,388.00"
7/1/2007,2618.43,6.12,"6,120.00","16,024,791.60","11,103,061.90",10.7697,"1,030,953.68","1,030,953,684,875.16","103,263,388.00"
8/1/2007,2579.35,6.14,"6,140.00","15,837,209.00","11,103,061.90",10.9663,"1,012,471.11","1,012,471,106,936.71","103,263,388.00"
9/1/2007,2506.83,5.84,"5,840.00","14,639,887.20","11,103,061.90",11.0169,"1,007,820.88","1,007,820,884,277.79","103,263,388.00"
10/1/2007,2657.24,6.22,"6,220.00","16,528,032.80","11,652,103.20",10.9224,"1,066,807.95","1,066,807,954,295.76","103,263,388.00"
11/1/2007,2577.97,6.24,"6,240.00","16,086,532.80","11,652,103.20",10.6639,"1,092,668.09","1,092,668,085,784.75","103,263,388.00"
12/1/2007,2489.39,6.76,"6,760.00","16,828,276.40","11,652,103.20",10.9124,"1,067,785.57","1,067,785,565,045.27","103,263,388.00"
1/1/2008,2548.33,7.78,"7,780.00","19,826,007.40","11,426,957.10",10.8972,"1,048,614.06","1,048,614,056,821.94","103,263,388.00"
2/1/2008,2694.39,8.19,"8,190.00","22,067,054.10","11,426,957.10",10.8138,"1,056,701.35","1,056,701,353,825.67","103,263,388.00"
3/1/2008,2575.71,9.06,"9,060.00","23,335,932.60","11,426,957.10",10.7046,"1,067,481.00","1,067,480,998,822.94","103,263,388.00"
4/1/2008,2600.26,9.76,"9,760.00","25,378,537.60","12,418,913.50",10.5985,"1,171,761.43","1,171,761,428,504.03","103,263,388.00"
5/1/2008,2562.91,10.52,"10,520.00","26,961,813.20","12,418,913.50",10.4585,"1,187,446.91","1,187,446,909,212.60","103,263,388.00"
6/1/2008,2689.6,11.65,"11,650.00","31,333,840.00","12,418,913.50",10.3417,"1,200,858.03","1,200,858,031,078.06","103,263,388.00"
7/1/2008,2598.57,11.47,"11,470.00","29,805,597.90","12,216,690.60",10.3908,"1,175,721.85","1,175,721,850,098.16","103,263,388.00"
8/1/2008,2561.87,7.99,"7,990.00","20,469,341.30","12,216,690.60",9.9705,"1,225,283.65","1,225,283,646,757.94","103,263,388.00"
9/1/2008,2404.84,6.48,"6,480.00","15,583,363.20","12,216,690.60",10.3423,"1,181,235.37","1,181,235,373,176.18","103,263,388.00"
10/1/2008,2503.78,5.16,"5,160.00","12,919,504.80","12,087,236.00",10.9811,"1,100,730.89","1,100,730,892,169.27","103,263,388.00"
11/1/2008,2482.93,5.02,"5,020.00","12,464,308.60","12,087,236.00",12.7875,"945,238.40","945,238,396,871.95","103,263,388.00"
12/1/2008,2383.92,5.56,"5,560.00","13,254,595.20","12,087,236.00",13.58,"890,076.29","890,076,288,659.79","103,263,388.00"
1/1/2009,2364.05,4.9,"4,900.00","11,583,845.00","11,099,355.30",13.7678,"806,182.20","806,182,200,496.81","103,263,388.00"
2/1/2009,2377.22,3.88,"3,880.00","9,223,613.60","11,099,355.30",14.5404,"763,345.94","763,345,939,589.01","103,263,388.00"
3/1/2009,2536.7,3.42,"3,420.00","8,675,514.00","11,099,355.30",15.365,"722,379.13","722,379,127,888.06","103,263,388.00"
4/1/2009,2585.33,3.36,"3,360.00","8,686,708.80","11,442,982.20",13.9108,"822,596.99","822,596,989,389.54","103,263,388.00"
5/1/2009,2782.32,3.57,"3,570.00","9,932,882.40","11,442,982.20",13.35,"857,152.22","857,152,224,719.10","103,263,388.00"
