Date,Demanded_Gas
1/1/2005,2039.88
2/1/2005,2015.25
3/1/2005,1969.51
4/1/2005,2008.19
5/1/2005,2041.86
6/1/2005,2089.82
7/1/2005,1962.26
8/1/2005,2070.46
9/1/2005,2080.82
10/1/2005,2050.56
11/1/2005,1971.14
12/1/2005,2059.68
1/1/2006,2161.66
2/1/2006,2178.75
3/1/2006,2117.61
4/1/2006,2165.25
5/1/2006,2142.03
6/1/2006,2180.68
7/1/2006,2191.06
8/1/2006,2193.12
9/1/2006,2163.43
10/1/2006,2150.04
11/1/2006,2091.42
12/1/2006,2180.87
1/1/2007,2166.37
2/1/2007,2177.10
3/1/2007,2144.01
4/1/2007,2205.25
5/1/2007,2248.10
6/1/2007,2191.77
7/1/2007,2079.13
8/1/2007,1990.86
9/1/2007,2043.55
10/1/2007,2078.94
11/1/2007,2021.58
12/1/2007,2161.50
1/1/2008,2262.28
2/1/2008,2224.14
3/1/2008,2204.40
4/1/2008,2154.51
5/1/2008,2197.33
6/1/2008,2131.42
7/1/2008,2185.47
8/1/2008,2201.81
9/1/2008,2155.23
10/1/2008,2143.02
11/1/2008,2057.72
12/1/2008,2178.66
1/1/2009,2193.17
2/1/2009,2169.75
3/1/2009,2240.48
4/1/2009,2188.58
5/1/2009,2067.09
6/1/2009,2246.32
7/1/2009,2218.42
8/1/2009,2187.95
9/1/2009,2143.11
10/1/2009,1939.15
11/1/2009,2048.57
12/1/2009,2153.56
1/1/2010,2282.17
2/1/2010,2251.90
3/1/2010,2285.65
4/1/2010,2300.34
5/1/2010,2277.50
6/1/2010,2267.60
7/1/2010,2232.06
8/1/2010,2220.01
9/1/2010,2246.23
10/1/2010,2204.51
11/1/2010,2131.61
12/1/2010,2140.82
1/1/2011,2202.12
2/1/2011,2201.19
3/1/2011,2219.61
4/1/2011,2242.32
5/1/2011,2210.57
6/1/2011,2189.31
7/1/2011,2155.28
8/1/2011,2068.81
9/1/2011,2129.71
10/1/2011,2243.93
11/1/2011,2186.02
12/1/2011,2187.39
1/1/2012,2292.03
2/1/2012,2243.07
3/1/2012,2268.44
4/1/2012,2329.38
5/1/2012,2307.45
6/1/2012,2266.44
7/1/2012,2263.47
8/1/2012,2324.26
9/1/2012,2274.21
10/1/2012,2228.59
11/1/2012,2296.48
12/1/2012,2183.52
1/1/2013,2278.37
2/1/2013,2236.56
3/1/2013,2301.92
4/1/2013,2253.86
5/1/2013,2204.59
6/1/2013,2238.48
7/1/2013,2335.45
8/1/2013,2350.71
9/1/2013,2266.52
10/1/2013,2293.65
11/1/2013,2276.83
12/1/2013,2224.72
1/1/2014,2303.22
2/1/2014,2275.99
3/1/2014,2310.50
4/1/2014,2281.40
5/1/2014,2268.87
6/1/2014,2314.63
7/1/2014,2315.73
8/1/2014,2291.08
9/1/2014,2274.84
10/1/2014,2328.30
11/1/2014,2152.16
12/1/2014,2187.69
1/1/2015,2245.82
2/1/2015,2268.12
3/1/2015,2231.31
4/1/2015,2098.50
5/1/2015,2206.08
6/1/2015,2226.41
7/1/2015,2255.07
8/1/2015,2233.78
9/1/2015,2208.68
10/1/2015,2183.34
11/1/2015,2057.89
12/1/2015,2184.99
1/1/2016,2122.12
2/1/2016,2106.75
3/1/2016,2163.92
4/1/2016,2072.92
5/1/2016,2104.64
6/1/2016,2158.62
7/1/2016,2181.21
8/1/2016,2228.51
9/1/2016,2153.05
10/1/2016,2143.84
11/1/2016,2002.76
12/1/2016,2021.07
1/1/2017,2053.94
2/1/2017,2168.71
3/1/2017,2075.35
4/1/2017,2012.88
5/1/2017,2101.09
6/1/2017,2041.27
7/1/2017,2134.19
8/1/2017,2036.32
9/1/2017,1883.37
10/1/2017,1874.81
11/1/2017,1805.69
12/1/2017,1962.95
1/1/2018,1754.80
2/1/2018,1759.56
3/1/2018,1774.31
4/1/2018,1805.67
5/1/2018,1878.99
6/1/2018,1745.36
7/1/2018,1815.82
8/1/2018,1828.94
9/1/2018,1785.29
10/1/2018,1745.40
11/1/2018,1698.20
12/1/2018,1859.91
1/1/2019,1820.94
2/1/2019,1888.02
3/1/2019,1828.83
4/1/2019,1854.28
5/1/2019,1869.15
6/1/2019,1924.51
7/1/2019,1920.04
8/1/2019,1809.29
9/1/2019,1806.76
10/1/2019,1782.60
11/1/2019,1794.63
12/1/2019,1818.35
1/1/2020,1863.28
2/1/2020,N/D
3/1/2020,1799.17
4/1/2020,1848.19
5/1/2020,1839.68
6/1/2020,1786.97
7/1/2020,1900.31
8/1/2020,1827.31
9/1/2020,1839.67
10/1/2020,1841.23
11/1/2020,1824.71
12/1/2020,1802.58
1/1/2021,1819.26
2/1/2021,1778.16
3/1/2021,1743.17
4/1/2021,1665.17
5/1/2021,1785.32
6/1/2021,1870.67
7/1/2021,1889.20
8/1/2021,1933.02
9/1/2021,1956.84
10/1/2021,1904.21
11/1/2021,1845.70
12/1/2021,1857.40
1/1/2022,1854.42
2/1/2022,1947.12
3/1/2022,2002.63
4/1/2022,1929.47
5/1/2022,1919.43
6/1/2022,1876.88
7/1/2022,1979.70
8/1/2022,2024.82
9/1/2022,1955.19
