Date,Demanded_Gas
1/1/2005,152.095831
2/1/2005,159.992122
3/1/2005,114.877308
4/1/2005,97.182233
5/1/2005,89.744079
6/1/2005,79.576461
7/1/2005,78.8683
8/1/2005,81.248032
9/1/2005,84.803317
10/1/2005,94.76033
11/1/2005,117.495386
12/1/2005,160.55386
1/1/2006,142.983455
2/1/2006,134.402111
3/1/2006,109.338181
4/1/2006,94.816402
5/1/2006,90.251951
6/1/2006,84.98197
7/1/2006,84.75535
8/1/2006,86.097574
9/1/2006,91.855915
10/1/2006,101.146444
11/1/2006,123.064604
12/1/2006,174.221733
1/1/2007,213.995242
2/1/2007,158.921668
3/1/2007,119.366324
4/1/2007,101.160222
5/1/2007,95.965538
6/1/2007,88.447688
7/1/2007,84.160705
8/1/2007,87.501342
9/1/2007,88.732126
10/1/2007,98.340564
11/1/2007,120.889249
12/1/2007,179.235216
1/1/2008,144.053972
2/1/2008,115.780396
3/1/2008,105.659622
4/1/2008,92.190183
5/1/2008,86.946672
6/1/2008,88.375532
7/1/2008,85.864917
8/1/2008,97.013585
9/1/2008,104.051283
10/1/2008,124.329468
11/1/2008,149.503728
12/1/2008,149.371353
1/1/2009,137.394969
2/1/2009,112.096818
3/1/2009,97.015492
4/1/2009,87.338374
5/1/2009,83.001795
6/1/2009,82.221739
7/1/2009,81.477184
8/1/2009,91.63688
9/1/2009,99.678973
10/1/2009,122.412081
11/1/2009,165.72177
12/1/2009,173.187412
1/1/2010,155.818508
2/1/2010,119.042962
3/1/2010,104.988576
4/1/2010,92.486999
5/1/2010,87.313513
6/1/2010,90.454996
7/1/2010,89.194488
8/1/2010,93.231205
9/1/2010,99.396243
10/1/2010,117.478608
11/1/2010,144.013306
12/1/2010,153.919425
1/1/2011,155.144364
2/1/2011,106.282077
3/1/2011,88.138686
4/1/2011,85.432153
5/1/2011,80.337067
6/1/2011,85.738167
7/1/2011,83.697844
8/1/2011,85.921996
9/1/2011,99.16512
10/1/2011,118.954714
11/1/2011,160.720733
12/1/2011,161.582737
1/1/2012,151.653296
2/1/2012,125.45258
3/1/2012,98.391265
4/1/2012,93.636546
5/1/2012,88.776392
6/1/2012,87.267809
7/1/2012,88.984967
8/1/2012,93.522282
9/1/2012,100.496796
10/1/2012,118.245264
11/1/2012,147.115227
12/1/2012,178.644714
1/1/2013,151.07309
2/1/2013,119.640524
3/1/2013,102.201436
4/1/2013,97.231016
5/1/2013,88.958907
6/1/2013,85.458111
7/1/2013,88.900334
8/1/2013,98.105626
9/1/2013,108.085887
10/1/2013,136.479233
11/1/2013,157.217598
12/1/2013,186.61654
1/1/2014,157.166536
2/1/2014,128.521208
3/1/2014,104.878196
4/1/2014,100.052508
5/1/2014,91.659023
6/1/2014,89.111143
7/1/2014,87.578408
8/1/2014,99.858039
9/1/2014,106.806438
10/1/2014,138.252935
11/1/2014,151.411474
12/1/2014,195.050014
1/1/2015,163.991227
2/1/2015,141.032743
3/1/2015,125.718824
4/1/2015,113.997504
5/1/2015,108.026639
6/1/2015,101.652404
7/1/2015,98.724458
8/1/2015,106.368169
9/1/2015,106.22089
10/1/2015,136.903346
11/1/2015,167.512658
12/1/2015,199.052297
1/1/2016,169.201003
2/1/2016,132.945456
3/1/2016,124.192663
4/1/2016,114.55829
5/1/2016,109.819291
6/1/2016,105.104913
7/1/2016,109.153668
8/1/2016,112.550278
9/1/2016,120.10171
10/1/2016,142.44033
11/1/2016,170.594244
12/1/2016,171.05171
1/1/2017,148.481402
2/1/2017,126.668607
3/1/2017,123.263388
4/1/2017,115.267757
5/1/2017,108.588625
6/1/2017,124.670094
7/1/2017,121.343101
8/1/2017,117.49419
9/1/2017,129.952773
10/1/2017,137.892619
11/1/2017,147.424338
12/1/2017,164.582637
1/1/2018,154.970875
2/1/2018,138.665862
3/1/2018,145.294942
4/1/2018,141.575918
5/1/2018,138.651896
6/1/2018,144.16891
7/1/2018,133.787035
8/1/2018,138.111544
9/1/2018,130.769588
10/1/2018,135.054091
11/1/2018,131.130358
12/1/2018,171.968918
1/1/2019,161.997428
2/1/2019,143.908955
3/1/2019,151.456482
4/1/2019,147.681511
5/1/2019,143.894207
6/1/2019,149.693221
7/1/2019,139.164887
8/1/2019,143.033895
9/1/2019,136.552256
10/1/2019,141.12497
11/1/2019,137.053532
12/1/2019,161.909378
1/1/2020,161.909378
2/1/2020,131.191217
3/1/2020,138.459538
4/1/2020,53.483938
5/1/2020,55.230408
6/1/2020,31.412075
7/1/2020,26.60723
8/1/2020,36.938875
9/1/2020,148.324475
10/1/2020,153.468019
11/1/2020,149.0843
12/1/2020,149.0843
1/1/2021,93.076806
2/1/2021,85.228596
3/1/2021,73.218359
4/1/2021,103.830663
5/1/2021,99.209064
6/1/2021,92.948819
7/1/2021,112.563829
8/1/2021,109.433763
9/1/2021,100.532535
10/1/2021,112.531404
11/1/2021,91.980818
12/1/2021,127.691372
1/1/2022,112.203144
2/1/2022,102.597603
3/1/2022,87.134463
4/1/2022,128.651474
5/1/2022,100.636516
6/1/2022,88.715456
7/1/2022,135.538637
8/1/2022,132.298412
9/1/2022,121.468558
