Ticker	Employees 	Expenses 	Assets 	Visitors 	Revenues 
BOUT	300	67821.3	242081.4	13116	26962.4
ALOY	120	36275	57668	1416	33864
AMZN	7600	896400	2465850	14812	1639839
ASKJ	416	62849.57	75764	13113	22026.8
ADBL	60	12923.78	39925.8	199	1742.61
AHWYQ	41	14675	15795	904	2060
BNBN	1237	165273	679518	5401	202567
BGST	200	20149.96	29852.06	1220	10658.41
BUYX	230	122175	119708	2378	596848
CDNW	537	150678.62	118801.76	6654	147189.41
CNET	671	125878	1230311	10587	112345
AMEN	81	14467.75	19784.42	322	6898.75
KOOP	185	66910	99720	4845	9431
EBAY	1212	170509	969825	14032	224724
EDGR	45	8157.74	37739.11	182	4730.61
EGGS	560	190305	129130	1858	541208
FASH	43	10668	43541	346	3690
FATB	349	39073	48465	187	35338
GOTO	317	54200	129512	6928	26809
INSW	297	60223.06	118280.91	2175	21840.54
IVIL	396	123062	312748	3707	36576
LFMN	90	45192.42	76857.18	7034	14019.49
LOOK	535	109065	161519	8470	48865
MQST	335	32843.17	65010.03	6528	13112.88
MKTW	202	77324	156855	3367	24935
MCNS	294	34188.32	222780.95	607	6362.23
MTHR	190	55380.3	71373.83	2434	5768.52
HITS	73	26574.91	165400.22	438	1043.84
NBCI	635	115154	2494096	2174	36100
ONHN	101	51375	32720	7755	3767
SPLN	453	83908	271461	5572	60278
SWBD	52	14989.67	12195.38	2577	8303.61
TSCM	253	40693.37	143550.24	962	14316.2
TGLO	220	62464.39	138843.32	5564	18640.96
TMCS	1172	230098	804669	4223	105303
TVLY	84	44563	9639	3479	64187
UBID	281	45827	79266	2749	204925
UPRO	157	46772.56	42815.64	8821	10391.53
WOMN	277	88216	172539	4256	30023
YHOO	1992	440647	1520129	39569	591786

