Año	Data
1955	-0.7
1955	1.3
1955	0.1
1955	-0.9
1955	0.8
1955	1.6
1955	1.7
1955	1.4
1955	1.4
1955	1.5
1955	1.4
1955	0.9
1956	1.2
1956	1.1
1956	0.9
1956	1.1
1956	1.4
1956	1.2
1956	1.1
1956	1
1956	0
1956	1.9
1956	0.1
1956	0.9
1957	0.4
1957	-0.4
1957	-0.4
1957	0
1957	-1.1
1957	-0.4
1957	0.1
1957	-1.1
1957	-1
1957	-0.1
1957	-1.2
1957	-0.5
1958	-1.9
1958	-0.7
1958	-0.3
1958	0.1
1958	-1.3
1958	-0.3
1958	0.3
1958	0.7
1958	-0.4
1958	-0.4
1958	-0.6
1958	-0.8
1959	-0.9
1959	-1.5
1959	0.8
1959	0.2
1959	0.2
1959	-0.9
1959	-0.5
1959	-0.6
1959	0
1959	0.3
1959	0.9
1959	0.8
1960	0
1960	-0.2
1960	0.5
1960	0.9
1960	0.2
1960	-0.5
1960	0.4
1960	0.5
1960	0.7
1960	-0.1
1960	0.6
1960	0.7
1961	-0.4
1961	0.5
1961	-2.6
1961	1.1
1961	0.2
1961	-0.4
1961	0.1
1961	-0.3
1961	0
1961	-0.8
1961	0.7
1961	1.4
1962	1.7
1962	-0.5
1962	-0.4
1962	0
1962	1.2
1962	0.5
1962	-0.1
1962	0.3
1962	0.5
1962	0.9
1962	0.2
1962	0
1963	0.8
1963	0.3
1963	0.6
1963	0.9
1963	0
1963	-1.5
1963	-0.3
1963	-0.4
1963	-0.7
1963	-1.6
1963	-1
1963	-1.4
1964	-0.5
1964	-0.2
1964	0.6
1964	1.7
1964	-0.2
1964	0.7
1964	0.5
1964	1.4
1964	1.3
1964	1.3
1964	0
1964	-0.5
1965	-0.5
1965	0
1965	0.2
1965	-1.1
1965	0
1965	-1.5
1965	-2.3
1965	-1.3
1965	-1.4
1965	-1.2
1965	-1.8
1965	0
1966	-1.4
1966	-0.5
1966	-1.6
1966	-0.7
1966	-0.6
1966	0
1966	-0.1
1966	0.3
1966	-0.3
1966	-0.3
1966	-0.1
1966	-0.5
1967	1.5
1967	1.2
1967	0.8
1967	-0.2
1967	-0.4
1967	0.6
1967	0
1967	0.4
1967	0.5
1967	-0.2
1967	-0.7
1967	-0.7
1968	0.5
1968	0.8
1968	-0.5
1968	-0.3
1968	1.2
1968	1.4
1968	0.6
1968	-0.1
1968	-0.3
1968	-0.3
1968	-0.4
1968	0
1969	-1.4
1969	0.8
1969	-0.1
1969	-0.8
1969	-0.8
1969	-0.2
1969	-0.7
1969	-0.6
1969	-1
1969	-1.4
1969	-0.1
1969	0.3
1970	-1.2
1970	-1.2
1970	0
1970	-0.5
1970	0.1
1970	1.1
1970	-0.6
1970	0.3
1970	1.2
1970	0.8
1970	1.8
1970	1.8
1971	0.2
1971	1.4
1971	2
1971	2.6
1971	0.9
1971	0.2
1971	0.1
1971	1.4
1971	1.5
1971	1.8
1971	0.5
1971	0.1
1972	0.3
1972	0.6
1972	0.1
1972	-0.5
1972	-2.1
1972	-1.7
1972	-1.9
1972	-1.1
1972	-1.5
1972	-1.1
1972	-0.4
1972	-1.5
1973	-0.4
1973	-1.5
1973	0.2
1973	-0.4
1973	0.3
1973	1.2
1973	0.5
1973	1.2
1973	1.3
1973	0.6
1973	2.9
1973	1.7
1974	2.2
1974	1.5
1974	2.1
1974	1.3
1974	1.3
1974	0.1
1974	1.2
1974	0.5
1974	1.1
1974	0.8
1974	-0.4
1974	0
1975	-0.6
1975	0.4
1975	1.1
1975	1.5
1975	0.5
1975	1.7
1975	2.1
1975	2
1975	2.2
1975	1.7
1975	1.3
1975	2
1976	1.2
1976	1.2
1976	1.3
1976	0.2
1976	0.6
1976	-0.1
1976	-1.2
1976	-1.5
1976	-1.2
1976	0.2
1976	0.7
1976	-0.5
1977	-0.5
1977	0.8
1977	-1.2
1977	-1.3
1977	-1.1
1977	-2.3
1977	-1.5
