              Habitantes    alfabetismo   escolar    matricula    Ingreso
Conchali      380.016       98.7          9.26       71.2         73.950
Providencia   89.3240       99.4          13.75      81.8         372.394
Condes        345.325       99.3          13.15      82.3         291.573
Nunoa         171.462       99.3          12.73      82.7         206.711
Reina         91.3100       98.4          12.61      78.2         201.666
Macul         120.204       98.8          10.85      74.4         112.642
Penalolen     175.260       93.6          7.43       65.6         45.441
Florida       309.140       96            9.23       66           86.019
Joaquín       124.043       96.9          9.25       71.2         58.305
Granja        123.518       95.5          7.91       65.4         49.056
Pintana       144.628       96.6          7.81       62.9         43.936
Ramon         121.286       91.5          7.2        67.4         51.089
Miguel        181.048       99.5          10.69      72.4         86.335
Cisterna      358.540       96.6          8.26       64.9         56.170
Central       14.085        95.8          9.06       72.6         60.817
Maipu         305.140       99.5          10.54      73.4         94.061
Normal        92.834        98.3          8.91       73.5         66.505
Prado         110.952       96.6          8.74       70.8         62.039
Pudahuel      132.240       95.5          7.79       65.9         52.683
Navia         155.428       93.1          7.34       65.7         48.202
Renca         151.632       97.3          9.01       69           55.373
