AÑO	CONCEN
1974	333.13
1974	332.09
1974	331.1
1974	329.14
1974	327.36
1974	327.29
1974	328.23
1974	329.55
1975	330.62
1975	331.4
1975	331.87
1975	333.18
1975	333.92
1975	333.43
1975	331.85
1975	330.01
1975	328.51
1975	328.41
1975	329.25
1975	330.97
1976	331.6
1976	332.6
1976	333.57
1976	334.72
1976	334.68
1976	334.17
1976	332.96
1976	330.8
1976	328.98
1976	328.57
1976	330.2
1976	331.58
1977	332.67
1977	333.17
1977	334.86
1977	336.07
1977	336.82
1977	336.12
1977	334.81
1977	332.56
1977	331.3
1977	331.22
1977	332.37
1977	333.49
1978	334.71
1978	335.23
1978	336.54
1978	337.79
1978	337.95
1978	338
1978	336.37
1978	334.47
1978	332.46
1978	332.29
1978	333.76
1978	334.8
1979	336
1979	336.63
1979	337.93
1979	338.95
1979	339.05
1979	339.27
1979	337.64
1979	335.68
1979	333.77
1979	334.09
1979	335.29
1979	336.76
1980	337.77
1980	338.26
1980	340.1
1980	340.88
1980	341.47
1980	341.31
1980	339.41
1980	337.74
1980	336.07
1980	336.07
1980	337.22
1980	338.38
1981	339.32
1981	340.41
1981	341.69
1981	342.51
1981	343.02
1981	342.54
1981	340.88
1981	338.75
1981	337.05
1981	337.13
1981	338.45
1981	339.85
1982	340.9
1982	341.7
1982	342.7
1982	343.65
1982	344.28
1982	343.42
1982	342.02
1982	339.97
1982	337.84
1982	338
1982	339.2
1982	340.63
1983	341.41
1983	342.68
1983	343.04
1983	345.27
1983	345.92
1983	345.4
1983	344.16
1983	342.11
1983	340.11
1983	340.15
1983	341.38
1983	343.02
1984	343.87
1984	344.59
1984	345.11
1984	347.07
1984	347.38
1984	346.78
1984	344.96
1984	342.71
1984	340.86
1984	341.13
1984	342.84
1984	344.32
1985	344.88
1985	345.62
1985	347.23
1985	347.62
1985	348.53
1985	347.87
1985	346
1985	343.86
1985	342.55
1985	342.57
1985	344.11
1985	345.49
1986	346.04
1986	346.7
1986	347.38
1986	349.38
1986	349.93
1986	349.26
1986	347.44
1986	345.55
1986	344.21
1986	343.67
1986	345.09
1986	346.27
1987	347.33
1987	347.82
1987	349.29
1987	350.91
1987	351.71
1987	350.94
1987	349.1
1987	346.77
1987	345.73
	
