'Price','IndPrice','PriceDif','AdvExp','Demand'
3.85,3.8,-.05,5.5,7.38
3.75,4,.25,6.75,8.51
3.7,4.3,.6,7.25,9.52
3.7,3.7,0,5.5,7.5
3.6,3.85,.25,7,9.33
3.6,3.8,.2,6.5,8.28
3.6,3.75,.15,6.75,8.75
3.8,3.85,.05,5.25,7.87
3.8,3.65,-.15,5.25,7.1
3.85,4,.15,6,8
3.9,4.1,.2,6.5,7.89
3.9,4,.1,6.25,8.15
3.7,4.1,.4,7,9.1
3.75,4.2,.45,6.9,8.86
3.75,4.1,.35,6.8,8.9
3.8,4.1,.3,6.8,8.87
3.7,4.2,.5,7.1,9.26
3.8,4.3,.5,7,9
3.7,4.1,.4,6.8,8.75
3.8,3.75,-.05,6.5,7.95
3.8,3.75,-.05,6.25,7.65
3.75,3.65,-.1,6,7.27
3.7,3.9,.2,6.5,8
3.55,3.65,.1,7,8.5
3.6,4.1,.5,6.8,8.75
3.65,4.25,.6,6.8,9.21
3.7,3.65,-.05,6.5,8.27
3.75,3.75,0,5.75,7.67
3.8,3.85,.05,5.8,7.93
3.7,4.25,.55,6.8,9.26
