V1 Semillas Luz Agua Germinacion
V2 40 0.1 0.5 29
V3 40 0.1 0.5 31
V4 40 0.1 0.5 27
V5 40 0.1 0.5 27
V6 40 0.1 0.7 34
V7 40 0.1 0.7 35
V8 40 0.1 0.7 27
V9 40 0.1 0.7 40
V10 40 0.1 0.9 25
V11 40 0.1 0.9 30
V12 40 0.1 0.9 31
V13 39 0.1 0.9 30
V14 40 0.4 0.5 23
V15 40 0.4 0.5 23
V16 40 0.4 0.5 32
V17 40 0.4 0.5 21
V18 40 0.4 0.7 34
V19 40 0.4 0.7 31
V20 40 0.4 0.7 36
V21 40 0.4 0.7 34
V22 34 0.4 0.9 25
V23 40 0.4 0.9 37
V24 40 0.4 0.9 37
V25 40 0.4 0.9 34
V26 40 0.7 0.5 40
V27 40 0.7 0.5 36
V28 40 0.7 0.5 40
V29 40 0.7 0.5 34
V30 40 0.7 0.7 40
V31 40 0.7 0.7 38
V32 40 0.7 0.7 35
V33 40 0.7 0.7 40
V34 40 0.7 0.9 33
V35 35 0.7 0.9 25
V36 40 0.7 0.9 34
V37 40 0.7 0.9 36
V38 41 1 0.5 31
V39 38 1 0.5 38
V40 41 1 0.5 27
V41 41 1 0.5 37
V42 40 1 0.7 32
V43 40 1 0.7 33
V44 40 1 0.7 30
V45 40 1 0.7 34
V46 40 1 0.9 37
V47 40 1 0.9 38
V48 40 1 0.9 35
V49 39 1 0.9 36
